"league_name","matches","avg_total_goals"
"Netherlands Eredivisie",2448,3.08088235294118
"Switzerland Super League",1422,2.92967651195499
"Germany 1. Bundesliga",2448,2.9015522875817
"Belgium Jupiler League",1728,2.80150462962963
"Spain LIGA BBVA",3040,2.76710526315789
"England Premier League",3040,2.71052631578947
"Scotland Premier League",1824,2.63377192982456
"Italy Serie A",3017,2.61683791846205
"Portugal Liga ZON Sagres",2052,2.53460038986355
"France Ligue 1",3040,2.44309210526316
"Poland Ekstraklasa",1920,2.425
