"league_name","season","season_start","team_api_id","matches","pts","gf","ga","ppm","gd","buildUpPlaySpeed","buildUpPlayPassing","defencePressure","speed_bucket","press_bucket","pass_bucket"
"Belgium Jupiler League","2008/2009",2008,8203,34,46,46,52,1.35294117647059,-6,52,40,42,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2008/2009",2008,8342,34,59,59,50,1.73529411764706,9,42,45,51,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2008/2009",2008,8571,34,38,37,55,1.11764705882353,-18,42,47,46,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2008/2009",2008,8635,34,77,75,30,2.26470588235294,45,52,51,53,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2008/2009",2008,9984,34,47,48,53,1.38235294117647,-5,53,43,59,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2008/2009",2008,9985,34,77,66,26,2.26470588235294,40,54,62,45,"Balanced (41-60)","Med-Low (41-50)","Long (>60)"
"Belgium Jupiler League","2008/2009",2008,9986,34,43,43,48,1.26470588235294,-5,60,53,39,"Balanced (41-60)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2008/2009",2008,9987,34,50,48,51,1.47058823529412,-3,58,38,36,"Balanced (41-60)","Low (<=40)","Short (<=40)"
"Belgium Jupiler League","2008/2009",2008,9991,34,59,67,42,1.73529411764706,25,50,37,49,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2008/2009",2008,9993,34,42,44,42,1.23529411764706,2,47,39,45,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2008/2009",2008,9994,34,51,40,32,1.5,8,62,52,45,"Fast (>60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2008/2009",2008,9996,34,44,42,49,1.29411764705882,-7,50,50,45,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2008/2009",2008,9998,34,19,31,57,0.558823529411765,-26,55,55,46,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2008/2009",2008,9999,34,30,33,59,0.882352941176471,-26,65,60,65,"Fast (>60)","High (>60)","Mixed (41-60)"
"Belgium Jupiler League","2008/2009",2008,10000,34,55,55,36,1.61764705882353,19,54,51,44,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2008/2009",2008,10001,34,52,42,38,1.52941176470588,4,52,50,48,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2009/2010",2009,8203,28,39,36,46,1.39285714285714,-10,52,40,42,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2009/2010",2009,8342,28,57,52,33,2.03571428571429,19,42,45,51,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2009/2010",2009,8571,28,45,39,30,1.60714285714286,9,42,47,46,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2009/2010",2009,8635,28,69,62,20,2.46428571428571,42,52,51,53,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2009/2010",2009,9984,28,38,45,40,1.35714285714286,5,53,43,59,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2009/2010",2009,9985,28,39,38,34,1.39285714285714,4,54,62,45,"Balanced (41-60)","Med-Low (41-50)","Long (>60)"
"Belgium Jupiler League","2009/2010",2009,9986,28,23,28,45,0.821428571428571,-17,60,53,39,"Balanced (41-60)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2009/2010",2009,9987,28,34,33,31,1.21428571428571,2,58,38,36,"Balanced (41-60)","Low (<=40)","Short (<=40)"
"Belgium Jupiler League","2009/2010",2009,9991,28,49,49,30,1.75,19,50,37,49,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2009/2010",2009,9993,28,35,30,43,1.25,-13,47,39,45,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2009/2010",2009,9994,28,18,22,54,0.642857142857143,-32,62,52,45,"Fast (>60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2009/2010",2009,9997,28,42,35,35,1.5,0,52,55,32,"Balanced (41-60)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2009/2010",2009,9999,28,18,29,58,0.642857142857143,-29,65,60,65,"Fast (>60)","High (>60)","Mixed (41-60)"
"Belgium Jupiler League","2009/2010",2009,10000,28,41,39,32,1.46428571428571,7,54,51,44,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2009/2010",2009,10001,28,32,28,34,1.14285714285714,-6,52,50,48,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2010/2011",2010,6351,30,23,28,50,0.766666666666667,-22,50,55,50,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2010/2011",2010,8203,30,48,34,30,1.6,4,52,40,42,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2010/2011",2010,8342,30,53,60,35,1.76666666666667,25,42,45,51,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2010/2011",2010,8571,30,38,36,39,1.26666666666667,-3,42,47,46,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2010/2011",2010,8635,30,65,58,20,2.16666666666667,38,52,51,53,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2010/2011",2010,9984,30,39,33,34,1.3,-1,53,43,59,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2010/2011",2010,9985,30,49,50,38,1.63333333333333,12,54,62,45,"Balanced (41-60)","Med-Low (41-50)","Long (>60)"
"Belgium Jupiler League","2010/2011",2010,9986,30,19,20,54,0.633333333333333,-34,60,53,39,"Balanced (41-60)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2010/2011",2010,9987,30,64,64,27,2.13333333333333,37,58,38,36,"Balanced (41-60)","Low (<=40)","Short (<=40)"
"Belgium Jupiler League","2010/2011",2010,9989,30,24,26,58,0.8,-32,69,58,38,"Fast (>60)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2010/2011",2010,9991,30,57,59,42,1.9,17,50,37,49,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2010/2011",2010,9993,30,26,24,40,0.866666666666667,-16,47,39,45,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2010/2011",2010,9994,30,50,43,36,1.66666666666667,7,62,52,45,"Fast (>60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2010/2011",2010,9997,30,29,20,51,0.966666666666667,-31,52,55,32,"Balanced (41-60)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2010/2011",2010,10000,30,33,39,41,1.1,-2,54,51,44,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2010/2011",2010,10001,30,41,41,40,1.36666666666667,1,52,50,48,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2011/2012",2011,1773,30,29,38,58,0.966666666666667,-20,52,50,43,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2011/2012",2011,8203,30,37,40,50,1.23333333333333,-10,52,40,42,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2011/2012",2011,8342,30,61,51,32,2.03333333333333,19,42,45,51,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2011/2012",2011,8571,30,46,39,36,1.53333333333333,3,42,47,46,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2011/2012",2011,8635,30,67,61,26,2.23333333333333,35,52,51,53,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2011/2012",2011,9984,30,46,36,37,1.53333333333333,-1,53,43,59,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2011/2012",2011,9985,30,51,43,33,1.7,10,54,62,45,"Balanced (41-60)","Med-Low (41-50)","Long (>60)"
"Belgium Jupiler League","2011/2012",2011,9987,30,46,60,44,1.53333333333333,16,58,38,36,"Balanced (41-60)","Low (<=40)","Short (<=40)"
"Belgium Jupiler League","2011/2012",2011,9989,30,31,24,36,1.03333333333333,-12,69,58,38,"Fast (>60)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2011/2012",2011,9991,30,56,63,35,1.86666666666667,28,50,37,49,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2011/2012",2011,9993,30,36,45,51,1.2,-6,47,39,45,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2011/2012",2011,9994,30,44,48,40,1.46666666666667,8,62,52,45,"Fast (>60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2011/2012",2011,9997,30,19,32,61,0.633333333333333,-29,52,55,32,"Balanced (41-60)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2011/2012",2011,9998,30,36,50,55,1.2,-5,55,55,46,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2011/2012",2011,10000,30,30,32,38,1,-6,54,51,44,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2011/2012",2011,10001,30,20,29,59,0.666666666666667,-30,52,50,48,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2012/2013",2012,1773,30,36,46,51,1.2,-5,52,50,43,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2012/2013",2012,8203,30,41,44,42,1.36666666666667,2,52,40,42,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2012/2013",2012,8342,30,54,66,43,1.8,23,42,45,51,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2012/2013",2012,8475,30,30,28,49,1,-21,38,49,27,"Slow (<=40)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2012/2013",2012,8571,30,39,31,30,1.3,1,42,47,46,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2012/2013",2012,8635,30,67,69,27,2.23333333333333,42,52,51,53,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2012/2013",2012,9984,30,14,30,65,0.466666666666667,-35,53,43,59,"Balanced (41-60)","Med-High (51-60)","Mixed (41-60)"
"Belgium Jupiler League","2012/2013",2012,9985,30,50,54,33,1.66666666666667,21,54,62,45,"Balanced (41-60)","Med-Low (41-50)","Long (>60)"
"Belgium Jupiler League","2012/2013",2012,9986,30,34,30,49,1.13333333333333,-19,60,53,39,"Balanced (41-60)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2012/2013",2012,9987,30,55,63,40,1.83333333333333,23,58,38,36,"Balanced (41-60)","Low (<=40)","Short (<=40)"
"Belgium Jupiler League","2012/2013",2012,9989,30,26,28,53,0.866666666666667,-25,69,58,38,"Fast (>60)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2012/2013",2012,9991,30,34,33,40,1.13333333333333,-7,50,37,49,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2012/2013",2012,9993,30,23,31,61,0.766666666666667,-30,47,39,45,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
"Belgium Jupiler League","2012/2013",2012,9994,30,51,53,38,1.7,15,62,52,45,"Fast (>60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2012/2013",2012,9998,30,44,48,53,1.46666666666667,-5,55,55,46,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2012/2013",2012,10000,30,63,49,29,2.1,20,54,51,44,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2013/2014",2013,8475,6,4,7,11,0.666666666666667,-4,38,49,27,"Slow (<=40)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2013/2014",2013,8573,6,14,7,1,2.33333333333333,6,52,54,42,"Balanced (41-60)","Med-Low (41-50)","Mixed (41-60)"
"Belgium Jupiler League","2013/2014",2013,9989,6,6,5,12,1,-7,69,58,38,"Fast (>60)","Low (<=40)","Mixed (41-60)"
"Belgium Jupiler League","2013/2014",2013,9991,6,10,11,6,1.66666666666667,5,50,37,49,"Balanced (41-60)","Med-Low (41-50)","Short (<=40)"
